username,password,baseURL,Firstname,Lastname,contactnumber,emailid,plot,street,state,country ,zipcode,Message,Status,Scenario
Numpy@gmail.com,tim123,https://userapi-8877aadaae71.herokuapp.com,,lavender,9765746589,petalslavender@gmail.com,50-AB,Florence,Kentucky,US,41091,User First Name is mandatory and should contains alphabets only,400 BAD_REQUEST,Firstname Empty
Numpy@gmail.com,tim123,https://userapi-8877aadaae71.herokuapp.com,petals,,9765746589,petalslavender@gmail.com,50-AB,Florence,Kentucky,US,41091,User Last Name is mandatory and should contains alphabets only,400 BAD_REQUEST,Last name Empty
Numpy@gmail.com,tim123,https://userapi-8877aadaae71.herokuapp.com,petals,lavender,,petalslavender@gmail.com,50-AB,Florence,Kentucky,US,41091,Phone Number is required and should contains 10 numeric values only,400 BAD_REQUEST,Contact Number Empty
Numpy@gmail.com,tim123,https://userapi-8877aadaae71.herokuapp.com,petals,lavender,9765746589,,50-AB,Florence,Kentucky,US,41091,User email Id is required,400 BAD_REQUEST,email id Empty
Numpy@gmail.com,tim123,https://userapi-8877aadaae71.herokuapp.com,1212312,lavender,9765746589,petalslavender@gmail.com,50-AB,Florence,Kentucky,US,41091,User First Name is mandatory and should contains alphabets only,400 BAD_REQUEST,Firstname as Number
Numpy@gmail.com,tim123,https://userapi-8877aadaae71.herokuapp.com,wer&%$,lavender,9765746589,petalslavender@gmail.com,50-AB,Florence,Kentucky,US,41091,User First Name is mandatory and should contains alphabets only,400 BAD_REQUEST,First name with special character
Numpy@gmail.com,tim123,https://userapi-8877aadaae71.herokuapp.com,petals,23132131,9765746589,petalslavender@gmail.com,50-AB,Florence,Kentucky,US,41091,User Last Name is mandatory and should contains alphabets only,400 BAD_REQUEST,Last name as Number
Numpy@gmail.com,tim123,https://userapi-8877aadaae71.herokuapp.com,petals,%wre%,9765746589,petalslavender@gmail.com,50-AB,Florence,Kentucky,US,41091,User Last Name is mandatory and should contains alphabets only,400 BAD_REQUEST,Last Name with special character
Numpy@gmail.com,tim123,https://userapi-8877aadaae71.herokuapp.com,petals,lavender,976574623,petalslavender@gmail.com,50-AB,Florence,Kentucky,US,41091,Phone Number is required and should contains 10 numeric values only,400 BAD_REQUEST,Contact Number less than 10 digits
Numpy@gmail.com,tim123,https://userapi-8877aadaae71.herokuapp.com,petals,lavender,9.77E+12,petalslavender@gmail.com,50-AB,Florence,Kentucky,US,41091,Phone Number is required and should contains 10 numeric values only,400 BAD_REQUEST,Contact Number more than 10 digits
Numpy@gmail.com,tim123,https://userapi-8877aadaae71.herokuapp.com,petals,lavender,9765746589,123,50-AB,Florence,Kentucky,US,41091,User email Id is required,400 BAD_REQUEST,User Email Incorrect format
Numpy@gmail.com,tim123,https://userapi-8877aadaae71.herokuapp.com,petals,lavender,9765746589,petalslavender@gmail.com,50,Florence,Kentucky,US,41091,Plot number should contain alphaNumeric values only,400 BAD_REQUEST,Plot number only numbers
Numpy@gmail.com,tim123,https://userapi-8877aadaae71.herokuapp.com,petals,lavender,9765746589,petalslavender@gmail.com,50AB,Florence,Kentucky,US,41091,Plot number should contain alphaNumeric values only,400 BAD_REQUEST,Plot number only numbers and alphabets
Numpy@gmail.com,tim123,https://userapi-8877aadaae71.herokuapp.com,petals,lavender,9765746589,petalslavender@gmail.com,50*AB,Florence,Kentucky,US,41091,Plot number should contain alphaNumeric values only,400 BAD_REQUEST,Plot number special characters other than &-
Numpy@gmail.com,tim123,https://userapi-8877aadaae71.herokuapp.com,petals,lavender,9765746589,petalslavender@gmail.com,,Florence,Kentucky,US,41091,Plot number should contain alphaNumeric values only,400 BAD_REQUEST,Plot number only empty
Numpy@gmail.com,tim123,https://userapi-8877aadaae71.herokuapp.com,petals,lavender,9765746589,petalslavender@gmail.com,50-AB,Florence,,US,41091,State should contain alphabet characters only,400 BAD_REQUEST,State is empty
Numpy@gmail.com,tim123,https://userapi-8877aadaae71.herokuapp.com,petals,lavender,9765746589,petalslavender@gmail.com,50-AB,Florence,32131,US,41091,State should contain alphabet characters only,400 BAD_REQUEST,State: numbers
Numpy@gmail.com,tim123,https://userapi-8877aadaae71.herokuapp.com,petals,lavender,9765746589,petalslavender@gmail.com,50-AB,Florence,Kentucky2312,US,41091,State should contain alphabet characters only,400 BAD_REQUEST,State: alpha numbers
Numpy@gmail.com,tim123,https://userapi-8877aadaae71.herokuapp.com,petalsa,lavendera,4765746589,petalslavender1@gmail.com,50-AB,Florence,Kentucky,US123,41091,Country should contain alphabet characters only,400 BAD_REQUEST,Country: alpha numbers
Numpy@gmail.com,tim123,https://userapi-8877aadaae71.herokuapp.com,petalsd,lavenderd,1765746589,petalslavender4@gmail.com,50-AB,Florence,Kentucky,,41091,Country should contain alphabet characters only,400 BAD_REQUEST,Country is empty
Numpy@gmail.com,tim123,https://userapi-8877aadaae71.herokuapp.com,petalse,lavendere,3765746589,petalslavender5@gmail.com,50-AB,,Kentucky,US,41091,Street should contain alphabet characters only,400 BAD_REQUEST,Street is empty
Numpy@gmail.com,tim123,https://userapi-8877aadaae71.herokuapp.com,petalsf,lavenderf,2765746589,petalslavender6@gmail.com,50-AB,Florence,Kentucky,1231,41091,Country should contain alphabet characters only,400 BAD_REQUEST,Country: numbers
Numpy@gmail.com,tim123,https://userapi-8877aadaae71.herokuapp.com,petals,lavender,1231131611,petalslavender@gmail.com,50-AB,string,Kentucky,US,41091,Contact number is already in use by another user,409 CONFLICT,Contact number is already in use by another user
Numpy@gmail.com,tim123,https://userapi-8877aadaae71.herokuapp.com,petals,lavender,9765746589,bhashabai@gmail.com,50-AB,string,Kentucky,US,41091,User already exist with same email id,409 CONFLICT,Email id already exists
